"arc_length","U_X"
0,-1.96528e-15
0.000999987,0.0100004
0.002,0.0200022
0.00299999,0.0300049
0.00400001,0.0400091
0.005,0.0500141
0.00600001,0.0600206
0.007,0.070028
0.00799999,0.0800366
0.009,0.0899922
0.00999999,0.0994778
0.011,0.108965
0.012,0.118453
0.013,0.127943
0.014,0.137434
0.015,0.146926
0.016,0.156419
0.017,0.165914
0.018,0.175303
0.019,0.184283
0.02,0.193266
0.021,0.202249
0.022,0.211234
0.023,0.22022
0.024,0.229207
0.025,0.238196
0.026,0.247186
0.027,0.256023
0.028,0.264518
0.029,0.273014
0.03,0.281511
0.031,0.29001
0.032,0.298511
0.033,0.307012
0.034,0.315516
0.035,0.324021
0.036,0.33233
0.037,0.340359
0.038,0.348389
0.039,0.356422
0.04,0.364455
0.041,0.37249
0.042,0.380527
0.043,0.388565
0.044,0.396605
0.045,0.404411
0.046,0.411995
0.047,0.419581
0.048,0.427163
0.049,0.43474
0.05,0.442319
0.051,0.449899
0.052,0.457481
0.053,0.465064
0.054,0.472379
0.055,0.479526
0.056,0.486675
0.057,0.493826
0.058,0.500978
0.059,0.508131
0.06,0.515285
0.061,0.522441
0.062,0.529599
0.063,0.53646
0.064,0.543204
0.065,0.549949
0.066,0.556695
0.067,0.563443
0.068,0.570192
0.069,0.576943
0.07,0.583695
0.071,0.590449
0.072,0.596883
0.073,0.603244
0.074,0.609607
0.075,0.615971
0.076,0.622337
0.077,0.628703
0.078,0.635072
0.079,0.641442
0.08,0.647813
0.081,0.653846
0.082,0.659846
0.083,0.665848
0.084,0.671851
0.085,0.677855
0.086,0.683861
0.087,0.689869
0.088,0.695877
0.089,0.701886
0.09,0.707544
0.091,0.713204
0.092,0.718866
0.093,0.724528
0.094,0.730192
0.095,0.735857
0.096,0.741524
0.097,0.747192
0.098,0.752829
0.099,0.758167
0.1,0.763506
0.101,0.768847
0.102,0.774188
0.103,0.779531
0.104,0.784876
0.105,0.790222
0.106,0.795569
0.107,0.800857
0.108,0.805893
0.109,0.81093
0.11,0.815969
0.111,0.821008
0.112,0.826049
0.113,0.831091
0.114,0.836134
0.115,0.841179
0.116,0.84614
0.117,0.850891
0.118,0.855643
0.119,0.860395
0.12,0.865149
0.121,0.869904
0.122,0.87466
0.123,0.879417
0.124,0.884176
0.125,0.88883
0.126,0.89331
0.127,0.897791
