"arc_length","U_X"
0,0.0230001
0.000999987,0.0260259
0.002,0.0290519
0.00299999,0.0320778
0.00400001,0.0351038
0.005,0.0381297
0.00600001,0.0411557
0.007,0.0441816
0.00799999,0.0472075
0.009,0.0502335
0.00999999,0.0532594
0.011,0.0562854
0.012,0.0593113
0.013,0.0623372
0.014,0.0653631
0.015,0.068389
0.016,0.071415
0.017,0.0744409
0.018,0.0774669
0.019,0.0804928
0.02,0.0835188
0.021,0.0865447
0.022,0.0895707
0.023,0.0932688
0.024,0.0971589
0.025,0.101049
0.026,0.104939
0.027,0.10883
0.028,0.11272
0.029,0.11661
0.03,0.1205
0.031,0.12439
0.032,0.12828
0.033,0.132171
0.034,0.136061
0.035,0.139951
0.036,0.143841
0.037,0.147731
0.038,0.151621
0.039,0.155512
0.04,0.159402
0.041,0.163292
0.042,0.167182
0.043,0.171072
0.044,0.174963
0.045,0.178748
0.046,0.182448
0.047,0.186149
0.048,0.18985
0.049,0.193551
0.05,0.197252
0.051,0.200953
0.052,0.204654
0.053,0.208355
0.054,0.212055
0.055,0.215756
0.056,0.219457
0.057,0.223158
0.058,0.226859
0.059,0.23056
0.06,0.234261
0.061,0.237961
0.062,0.241662
0.063,0.245363
0.064,0.249064
0.065,0.252765
0.066,0.256466
0.067,0.260101
0.068,0.263603
0.069,0.267105
0.07,0.270608
0.071,0.27411
0.072,0.277613
0.073,0.281115
0.074,0.284618
0.075,0.28812
0.076,0.291623
0.077,0.295125
0.078,0.298628
0.079,0.30213
0.08,0.305633
0.081,0.309135
0.082,0.312637
0.083,0.31614
0.084,0.319642
0.085,0.323145
0.086,0.326647
0.087,0.33015
0.088,0.333652
0.089,0.337132
0.09,0.34043
0.091,0.343729
0.092,0.347027
0.093,0.350326
0.094,0.353624
0.095,0.356922
0.096,0.360221
0.097,0.363519
0.098,0.366817
0.099,0.370116
0.1,0.373414
0.101,0.376713
0.102,0.380011
0.103,0.383309
0.104,0.386608
0.105,0.389906
0.106,0.393205
0.107,0.396503
0.108,0.399801
0.109,0.4031
0.11,0.406398
0.111,0.409697
0.112,0.412809
0.113,0.415899
0.114,0.418989
0.115,0.422079
0.116,0.425169
0.117,0.428258
0.118,0.431348
0.119,0.434438
0.12,0.437528
0.121,0.440617
0.122,0.443707
0.123,0.446797
0.124,0.449887
0.125,0.452976
0.126,0.456066
0.127,0.459156
0.128,0.462246
0.129,0.465336
0.13,0.468425
0.131,0.471515
0.132,0.474605
0.133,0.477695
0.134,0.480643
0.135,0.48352
0.136,0.486398
0.137,0.489275
0.138,0.492153
0.139,0.495031
0.14,0.497908
0.141,0.500786
0.142,0.503663
0.143,0.506541
0.144,0.509418
0.145,0.512296
0.146,0.515173
0.147,0.518051
0.148,0.520929
0.149,0.523806
0.15,0.526684
0.151,0.529561
0.152,0.532439
0.153,0.535316
0.154,0.538194
0.155,0.541071
0.156,0.543853
0.157,0.546516
0.158,0.549179
0.159,0.551841
0.16,0.554504
0.161,0.557167
0.162,0.559829
0.163,0.562492
0.164,0.565154
0.165,0.567817
0.166,0.57048
0.167,0.573142
0.168,0.575805
0.169,0.578468
0.17,0.58113
0.171,0.583793
0.172,0.586455
0.173,0.589118
0.174,0.591781
0.175,0.594443
0.176,0.597106
0.177,0.599769
0.178,0.602383
0.179,0.604829
0.18,0.607275
0.181,0.609721
0.182,0.612167
0.183,0.614613
0.184,0.617059
0.185,0.619505
0.186,0.621951
0.187,0.624397
0.188,0.626844
0.189,0.62929
0.19,0.631736
0.191,0.634182
0.192,0.636628
0.193,0.639074
0.194,0.64152
0.195,0.643966
0.196,0.646412
0.197,0.648858
0.198,0.651304
0.199,0.65375
0.2,0.656196
0.201,0.658425
0.202,0.660654
0.203,0.662883
0.204,0.665112
0.205,0.667342
0.206,0.669571
0.207,0.6718
0.208,0.674029
0.209,0.676258
0.21,0.678487
0.211,0.680716
0.212,0.682945
0.213,0.685175
0.214,0.687404
0.215,0.689633
0.216,0.691862
0.217,0.694091
0.218,0.69632
0.219,0.698549
0.22,0.700778
0.221,0.703008
0.222,0.705237
0.223,0.707298
0.224,0.709311
0.225,0.711325
0.226,0.713338
0.227,0.715352
0.228,0.717365
0.229,0.719378
0.23,0.721392
0.231,0.723405
0.232,0.725418
0.233,0.727432
0.234,0.729445
0.235,0.731459
0.236,0.733472
0.237,0.735485
0.238,0.737499
0.239,0.739512
0.24,0.741526
0.241,0.743539
0.242,0.745552
0.243,0.747566
0.244,0.749579
0.245,0.751474
0.246,0.753275
0.247,0.755075
0.248,0.756876
0.249,0.758676
0.25,0.760477
0.251,0.762277
0.252,0.764078
0.253,0.765878
0.254,0.767679
0.255,0.769479
0.256,0.77128
0.257,0.773081
0.258,0.774881
0.259,0.776682
0.26,0.778482
0.261,0.780283
0.262,0.782083
0.263,0.783884
0.264,0.785684
0.265,0.787485
0.266,0.789285
0.267,0.791016
0.268,0.792609
0.269,0.794201
0.27,0.795793
0.271,0.797386
0.272,0.798978
0.273,0.800571
0.274,0.802163
0.275,0.803755
0.276,0.805348
0.277,0.80694
0.278,0.808533
0.279,0.810125
0.28,0.811717
0.281,0.81331
0.282,0.814902
0.283,0.816495
0.284,0.818087
0.285,0.819679
0.286,0.821272
0.287,0.822864
0.288,0.824457
0.289,0.826027
0.29,0.827417
0.291,0.828808
0.292,0.830199
0.293,0.83159
0.294,0.832981
0.295,0.834372
0.296,0.835763
0.297,0.837154
0.298,0.838544
0.299,0.839935
0.3,0.841326
0.301,0.842717
0.302,0.844108
0.303,0.845499
0.304,0.84689
0.305,0.848281
0.306,0.849672
0.307,0.851062
0.308,0.852453
0.309,0.853844
0.31,0.855235
0.311,0.856626
0.312,0.857845
0.313,0.859043
0.314,0.86024
0.315,0.861438
0.316,0.862636
0.317,0.863833
0.318,0.865031
0.319,0.866229
0.32,0.867426
0.321,0.868624
0.322,0.869822
0.323,0.871019
0.324,0.872217
0.325,0.873415
0.326,0.874612
0.327,0.87581
0.328,0.877008
0.329,0.878205
0.33,0.879403
0.331,0.880601
0.332,0.881798
0.333,0.882996
0.334,0.884071
0.335,0.885085
0.336,0.886099
0.337,0.887113
0.338,0.888128
0.339,0.889142
0.34,0.890156
0.341,0.89117
0.342,0.892184
0.343,0.893198
0.344,0.894212
0.345,0.895226
0.346,0.896241
0.347,0.897255
0.348,0.898269
0.349,0.899283
0.35,0.900297
0.351,0.901311
0.352,0.902325
0.353,0.903339
0.354,0.904353
0.355,0.905368
0.356,0.906305
0.357,0.907146
0.358,0.907987
0.359,0.908828
0.36,0.90967
0.361,0.910511
0.362,0.911352
0.363,0.912193
0.364,0.913034
0.365,0.913876
0.366,0.914717
0.367,0.915558
0.368,0.916399
0.369,0.917241
0.37,0.918082
0.371,0.918923
0.372,0.919764
0.373,0.920605
0.374,0.921447
0.375,0.922288
0.376,0.923129
0.377,0.92397
0.378,0.924775
0.379,0.925455
0.38,0.926134
0.381,0.926813
0.382,0.927493
0.383,0.928172
0.384,0.928851
0.385,0.929531
0.386,0.93021
0.387,0.930889
0.388,0.931568
0.389,0.932248
0.39,0.932927
0.391,0.933606
0.392,0.934286
0.393,0.934965
0.394,0.935644
0.395,0.936324
0.396,0.937003
0.397,0.937682
0.398,0.938361
0.399,0.939041
0.4,0.93972
0.401,0.940248
0.402,0.940776
0.403,0.941304
0.404,0.941832
0.405,0.94236
0.406,0.942889
0.407,0.943417
0.408,0.943945
0.409,0.944473
0.41,0.945001
0.411,0.945529
0.412,0.946057
0.413,0.946585
0.414,0.947113
0.415,0.947641
0.416,0.94817
0.417,0.948698
0.418,0.949226
0.419,0.949754
0.42,0.950282
0.421,0.95081
0.422,0.951338
0.423,0.951756
0.424,0.952143
0.425,0.952529
0.426,0.952916
0.427,0.953302
0.428,0.953689
0.429,0.954075
0.43,0.954462
0.431,0.954849
0.432,0.955235
0.433,0.955622
0.434,0.956008
0.435,0.956395
0.436,0.956781
0.437,0.957168
0.438,0.957554
0.439,0.957941
0.44,0.958327
0.441,0.958714
0.442,0.959101
0.443,0.959487
0.444,0.959874
0.445,0.960186
0.446,0.960439
0.447,0.960692
0.448,0.960945
0.449,0.961198
0.45,0.961451
0.451,0.961704
0.452,0.961957
0.453,0.96221
0.454,0.962463
0.455,0.962715
0.456,0.962968
0.457,0.963221
0.458,0.963474
0.459,0.963727
0.46,0.96398
0.461,0.964233
0.462,0.964486
0.463,0.964739
0.464,0.964992
0.465,0.965245
0.466,0.965498
0.467,0.965708
0.468,0.965833
0.469,0.965958
0.47,0.966083
0.471,0.966208
0.472,0.966333
0.473,0.966458
0.474,0.966583
0.475,0.966708
0.476,0.966833
0.477,0.966958
0.478,0.967083
0.479,0.967208
0.48,0.967333
0.481,0.967458
0.482,0.967583
0.483,0.967708
0.484,0.967833
0.485,0.967958
0.486,0.968083
0.487,0.968208
0.488,0.968333
0.489,0.968444
0.49,0.968444
0.491,0.968444
0.492,0.968444
0.493,0.968444
0.494,0.968444
0.495,0.968444
0.496,0.968444
0.497,0.968444
0.498,0.968444
0.499,0.968444
0.5,0.968444
0.501,0.968444
0.502,0.968444
0.503,0.968444
0.504,0.968444
0.505,0.968444
0.506,0.968444
0.507,0.968444
0.508,0.968444
0.509,0.968444
0.51,0.968444
0.511,0.968444
0.512,0.968333
0.513,0.968208
0.514,0.968083
0.515,0.967958
0.516,0.967833
0.517,0.967708
0.518,0.967583
0.519,0.967458
0.52,0.967333
0.521,0.967208
0.522,0.967083
0.523,0.966958
0.524,0.966833
0.525,0.966708
0.526,0.966583
0.527,0.966458
0.528,0.966333
0.529,0.966208
0.53,0.966083
0.531,0.965958
0.532,0.965833
0.533,0.965708
0.534,0.965498
0.535,0.965245
0.536,0.964992
0.537,0.964739
0.538,0.964486
0.539,0.964233
0.54,0.96398
0.541,0.963727
0.542,0.963474
0.543,0.963221
0.544,0.962968
0.545,0.962715
0.546,0.962463
0.547,0.96221
0.548,0.961957
0.549,0.961704
0.55,0.961451
0.551,0.961198
0.552,0.960945
0.553,0.960692
0.554,0.960439
0.555,0.960186
0.556,0.959874
0.557,0.959487
0.558,0.959101
0.559,0.958714
0.56,0.958327
0.561,0.957941
0.562,0.957554
0.563,0.957168
0.564,0.956781
0.565,0.956395
0.566,0.956008
0.567,0.955622
0.568,0.955235
0.569,0.954849
0.57,0.954462
0.571,0.954075
0.572,0.953689
0.573,0.953302
0.574,0.952916
0.575,0.952529
0.576,0.952143
0.577,0.951756
0.578,0.951338
0.579,0.95081
0.58,0.950282
0.581,0.949754
0.582,0.949226
0.583,0.948698
0.584,0.94817
0.585,0.947641
0.586,0.947113
0.587,0.946585
0.588,0.946057
0.589,0.945529
0.59,0.945001
0.591,0.944473
0.592,0.943945
0.593,0.943417
0.594,0.942889
0.595,0.94236
0.596,0.941832
0.597,0.941304
0.598,0.940776
0.599,0.940248
0.6,0.93972
0.601,0.939041
0.602,0.938361
0.603,0.937682
0.604,0.937003
0.605,0.936324
0.606,0.935644
0.607,0.934965
0.608,0.934286
0.609,0.933606
0.61,0.932927
0.611,0.932248
0.612,0.931568
0.613,0.930889
0.614,0.93021
0.615,0.929531
0.616,0.928851
0.617,0.928172
0.618,0.927493
0.619,0.926813
0.62,0.926134
0.621,0.925455
0.622,0.924775
0.623,0.92397
0.624,0.923129
0.625,0.922288
0.626,0.921447
0.627,0.920605
0.628,0.919764
0.629,0.918923
0.63,0.918082
0.631,0.917241
0.632,0.916399
0.633,0.915558
0.634,0.914717
0.635,0.913876
0.636,0.913034
0.637,0.912193
0.638,0.911352
0.639,0.910511
0.64,0.90967
0.641,0.908828
0.642,0.907987
0.643,0.907146
0.644,0.906305
0.645,0.905368
0.646,0.904353
0.647,0.903339
0.648,0.902325
0.649,0.901311
0.65,0.900297
0.651,0.899283
0.652,0.898269
0.653,0.897255
0.654,0.896241
0.655,0.895226
0.656,0.894212
0.657,0.893198
0.658,0.892184
0.659,0.89117
0.66,0.890156
0.661,0.889142
0.662,0.888128
0.663,0.887113
0.664,0.886099
0.665,0.885085
0.666,0.884071
0.667,0.882996
0.668,0.881798
0.669,0.880601
0.67,0.879403
0.671,0.878205
0.672,0.877008
0.673,0.87581
0.674,0.874612
0.675,0.873415
0.676,0.872217
0.677,0.871019
0.678,0.869822
0.679,0.868624
0.68,0.867426
0.681,0.866229
0.682,0.865031
0.683,0.863833
0.684,0.862636
0.685,0.861438
0.686,0.86024
0.687,0.859043
0.688,0.857845
0.689,0.856626
0.69,0.855235
0.691,0.853844
0.692,0.852453
0.693,0.851062
0.694,0.849672
0.695,0.848281
0.696,0.84689
0.697,0.845499
0.698,0.844108
0.699,0.842717
0.7,0.841326
0.701,0.839935
0.702,0.838544
0.703,0.837154
0.704,0.835763
0.705,0.834372
0.706,0.832981
0.707,0.83159
0.708,0.830199
0.709,0.828808
0.71,0.827417
0.711,0.826027
0.712,0.824457
0.713,0.822864
0.714,0.821272
0.715,0.819679
0.716,0.818087
0.717,0.816495
0.718,0.814902
0.719,0.81331
0.72,0.811717
0.721,0.810125
0.722,0.808533
0.723,0.80694
0.724,0.805348
0.725,0.803755
0.726,0.802163
0.727,0.800571
0.728,0.798978
0.729,0.797386
0.73,0.795793
0.731,0.794201
0.732,0.792609
0.733,0.791016
0.734,0.789285
0.735,0.787485
0.736,0.785684
0.737,0.783884
0.738,0.782083
0.739,0.780283
0.74,0.778482
0.741,0.776682
0.742,0.774881
0.743,0.773081
0.744,0.77128
0.745,0.769479
0.746,0.767679
0.747,0.765878
0.748,0.764078
0.749,0.762277
0.75,0.760477
0.751,0.758676
0.752,0.756876
0.753,0.755075
0.754,0.753275
0.755,0.751474
0.756,0.749579
0.757,0.747566
0.758,0.745552
0.759,0.743539
0.76,0.741526
0.761,0.739512
0.762,0.737499
0.763,0.735485
0.764,0.733472
0.765,0.731459
0.766,0.729445
0.767,0.727432
0.768,0.725418
0.769,0.723405
0.77,0.721392
0.771,0.719378
0.772,0.717365
0.773,0.715352
0.774,0.713338
0.775,0.711325
0.776,0.709311
0.777,0.707298
0.778,0.705237
0.779,0.703008
0.78,0.700778
0.781,0.698549
0.782,0.69632
0.783,0.694091
0.784,0.691862
0.785,0.689633
0.786,0.687404
0.787,0.685175
0.788,0.682945
0.789,0.680716
