"arc_length","U_X"
0,-5.29439e-16
0.000999987,0.0109534
0.002,0.0219073
0.00299999,0.0328612
0.00400001,0.0438155
0.005,0.0547698
0.00600001,0.0657246
0.007,0.0766794
0.00799999,0.0876343
0.009,0.098522
0.00999999,0.108657
0.011,0.118794
0.012,0.128931
0.013,0.13907
0.014,0.14921
0.015,0.15935
0.016,0.169492
0.017,0.179635
0.018,0.189648
0.019,0.198987
0.02,0.208329
0.021,0.217672
0.022,0.227018
0.023,0.236364
0.024,0.245713
0.025,0.255064
0.026,0.264417
0.027,0.273582
0.028,0.28215
0.029,0.29072
0.03,0.299293
0.031,0.307868
0.032,0.316446
0.033,0.325026
0.034,0.333609
0.035,0.342195
0.036,0.350545
0.037,0.358381
0.038,0.36622
0.039,0.374062
0.04,0.381907
0.041,0.389755
0.042,0.397606
0.043,0.40546
0.044,0.413317
0.045,0.420902
0.046,0.428056
0.047,0.435212
0.048,0.442372
0.049,0.449535
0.05,0.456701
0.051,0.46387
0.052,0.471043
0.053,0.478219
0.054,0.485099
0.055,0.491626
0.056,0.498156
0.057,0.504689
0.058,0.511226
0.059,0.517765
0.06,0.524309
0.061,0.530855
0.062,0.537405
0.063,0.543648
0.064,0.549609
0.065,0.555574
0.066,0.561542
0.067,0.567513
0.068,0.573488
0.069,0.579466
0.07,0.585447
0.071,0.591431
0.072,0.597109
0.073,0.60257
0.074,0.608034
0.075,0.613501
0.076,0.618971
0.077,0.624444
0.078,0.629921
0.079,0.6354
0.08,0.640883
0.081,0.64607
0.082,0.651095
0.083,0.656123
0.084,0.661153
0.085,0.666187
0.086,0.671223
0.087,0.676254
0.088,0.681275
0.089,0.6863
0.09,0.69105
0.091,0.695681
0.092,0.700315
0.093,0.704952
0.094,0.709591
0.095,0.714233
0.096,0.718877
0.097,0.723524
0.098,0.728174
0.099,0.732576
0.1,0.736893
0.101,0.741213
0.102,0.745535
0.103,0.749859
0.104,0.754186
0.105,0.758515
0.106,0.762846
0.107,0.76718
0.108,0.771295
0.109,0.775352
0.11,0.77941
0.111,0.78347
0.112,0.787532
0.113,0.791597
0.114,0.795663
0.115,0.799732
0.116,0.803802
0.117,0.807684
0.118,0.811526
0.119,0.815369
0.12,0.819214
0.121,0.82306
0.122,0.826909
0.123,0.830759
0.124,0.834611
0.125,0.838465
0.126,0.842158
0.127,0.845824
0.128,0.849492
0.129,0.853161
0.13,0.856831
0.131,0.860503
0.132,0.864177
0.133,0.867852
0.134,0.871529
0.135,0.875071
0.136,0.878595
0.137,0.882119
0.138,0.885645
0.139,0.889172
0.14,0.8927
0.141,0.89623
0.142,0.899762
0.143,0.903294
0.144,0.906715
0.145,0.910122
0.146,0.91353
0.147,0.916932
0.148,0.92032
0.149,0.923709
0.15,0.927099
0.151,0.930491
0.152,0.933883
0.153,0.937183
0.154,0.940472
0.155,0.943761
0.156,0.947052
0.157,0.950343
0.158,0.953635
0.159,0.956929
0.16,0.960223
0.161,0.963519
0.162,0.966737
0.163,0.969944
0.164,0.973153
0.165,0.976362
0.166,0.979572
0.167,0.982783
0.168,0.985995
0.169,0.989208
0.17,0.992421
0.171,0.99557
0.172,0.998707
0.173,1.00185
0.174,1.00498
0.175,1.00812
0.176,1.01126
0.177,1.01441
0.178,1.01755
0.179,1.02069
0.18,1.02378
0.181,1.02685
0.182,1.02992
0.183,1.033
0.184,1.03607
0.185,1.03915
0.186,1.04223
0.187,1.04531
0.188,1.04838
0.189,1.05141
0.19,1.05443
0.191,1.05744
0.192,1.06043
0.193,1.06341
0.194,1.0664
0.195,1.06939
0.196,1.07238
0.197,1.07536
0.198,1.07831
0.199,1.08123
0.2,1.08415
0.201,1.08707
0.202,1.08999
0.203,1.09292
0.204,1.09584
0.205,1.09876
0.206,1.10168
0.207,1.10456
0.208,1.10741
0.209,1.11026
0.21,1.11311
0.211,1.11595
0.212,1.1188
0.213,1.12165
0.214,1.12449
0.215,1.12734
0.216,1.13015
0.217,1.13291
0.218,1.13567
0.219,1.13843
0.22,1.14119
0.221,1.14394
0.222,1.1467
0.223,1.14945
0.224,1.15221
0.225,1.15492
0.226,1.15754
0.227,1.16015
0.228,1.16276
0.229,1.16536
0.23,1.16796
0.231,1.17056
0.232,1.17315
0.233,1.17574
0.234,1.17831
0.235,1.18076
0.236,1.18321
0.237,1.18565
0.238,1.18809
0.239,1.19052
0.24,1.19295
0.241,1.19537
0.242,1.19779
0.243,1.2002
0.244,1.20244
0.245,1.20465
0.246,1.20686
0.247,1.20907
0.248,1.21127
0.249,1.21345
0.25,1.21564
0.251,1.21781
0.252,1.21998
0.253,1.22192
0.254,1.22376
0.255,1.22559
0.256,1.22741
0.257,1.22921
0.258,1.23101
0.259,1.23279
0.26,1.23456
0.261,1.23631
0.262,1.23791
0.263,1.23928
0.264,1.24062
0.265,1.24196
0.266,1.24327
0.267,1.24457
0.268,1.24585
0.269,1.24711
0.27,1.24835
0.271,1.24956
0.272,1.25026
0.273,1.25093
0.274,1.25158
0.275,1.25217
0.276,1.25271
0.277,1.25322
0.278,1.25371
0.279,1.25417
0.28,1.2546
0.281,1.25458
0.282,1.25426
0.283,1.2539
0.284,1.2535
0.285,1.25308
0.286,1.25261
0.287,1.25212
0.288,1.25158
0.289,1.25101
0.29,1.25034
0.291,1.24876
0.292,1.24713
0.293,1.24547
0.294,1.2437
0.295,1.24187
0.296,1.24
0.297,1.23808
0.298,1.23611
0.299,1.23409
0.3,1.23151
0.301,1.2282
0.302,1.22483
0.303,1.22141
0.304,1.21792
0.305,1.21438
0.306,1.21078
0.307,1.20713
0.308,1.20341
0.309,1.19963
0.31,1.19476
0.311,1.18934
0.312,1.18386
0.313,1.17831
0.314,1.17269
0.315,1.16701
0.316,1.16126
0.317,1.15544
0.318,1.14955
0.319,1.1436
0.32,1.13635
0.321,1.12857
0.322,1.12072
0.323,1.11279
0.324,1.10479
0.325,1.09672
0.326,1.08857
0.327,1.08036
0.328,1.07207
0.329,1.06371
0.33,1.05425
0.331,1.04398
0.332,1.03364
0.333,1.02323
0.334,1.01275
0.335,1.00221
0.336,0.991648
0.337,0.981023
0.338,0.970334
0.339,0.95958
0.34,0.948488
0.341,0.93593
0.342,0.923323
0.343,0.910668
0.344,0.897963
0.345,0.885209
0.346,0.872441
0.347,0.859714
0.348,0.846945
0.349,0.834132
0.35,0.821276
0.351,0.807851
0.352,0.79357
0.353,0.779273
0.354,0.76496
0.355,0.75063
0.356,0.736394
0.357,0.722233
0.358,0.708063
0.359,0.693886
0.36,0.6797
0.361,0.665506
0.362,0.651195
0.363,0.636201
0.364,0.621233
0.365,0.606466
0.366,0.591811
0.367,0.57719
0.368,0.562604
0.369,0.548053
0.37,0.533538
0.371,0.51906
0.372,0.504617
0.373,0.49036
0.374,0.476254
0.375,0.462144
0.376,0.448111
0.377,0.434156
0.378,0.42028
0.379,0.406483
0.38,0.392766
0.381,0.379407
0.382,0.366143
0.383,0.352966
0.384,0.339878
0.385,0.326878
0.386,0.313967
0.387,0.301361
0.388,0.289736
0.389,0.278262
0.39,0.2669
0.391,0.255651
0.392,0.244516
0.393,0.233493
0.394,0.222507
0.395,0.211453
0.396,0.200549
0.397,0.189795
0.398,0.179193
0.399,0.168741
0.4,0.158442
0.401,0.149994
0.402,0.141763
0.403,0.134251
0.404,0.126833
0.405,0.11951
0.406,0.112284
0.407,0.105088
0.408,0.098003
0.409,0.0910335
0.41,0.0841815
0.411,0.0774491
0.412,0.0709331
0.413,0.0651277
0.414,0.0594304
0.415,0.0538432
0.416,0.0483685
0.417,0.0430082
0.418,0.0380192
0.419,0.0334151
0.42,0.0289171
0.421,0.0245275
0.422,0.0202483
0.423,0.016082
0.424,0.0124855
0.425,0.00899044
0.426,0.00559888
0.427,0.00231926
0.428,-1.10565e-05
0.429,-0.00201564
0.43,-0.00384369
0.431,-0.00560148
0.432,-0.00728749
0.433,-0.00890022
0.434,-0.0102788
0.435,-0.0114706
0.436,-0.0125995
0.437,-0.0136641
0.438,-0.014663
0.439,-0.0154642
0.44,-0.0161219
0.441,-0.0167239
0.442,-0.0172689
0.443,-0.0177557
0.444,-0.0180573
0.445,-0.0182785
0.446,-0.018451
0.447,-0.0185736
0.448,-0.0186288
0.449,-0.0185462
0.45,-0.0184226
0.451,-0.018257
0.452,-0.0180484
0.453,-0.0177563
0.454,-0.0170747
0.455,-0.0162979
0.456,-0.0155272
0.457,-0.0147622
0.458,-0.0140044
0.459,-0.0132565
0.46,-0.0125186
0.461,-0.011792
0.462,-0.0110933
0.463,-0.010407
0.464,-0.00973347
0.465,-0.00907292
0.466,-0.00845559
0.467,-0.00785356
0.468,-0.00726572
0.469,-0.00669235
0.47,-0.0061715
0.471,-0.00566638
0.472,-0.00517571
0.473,-0.00470284
0.474,-0.00428472
0.475,-0.00388
0.476,-0.00348892
0.477,-0.00312368
0.478,-0.00280317
0.479,-0.00249438
0.48,-0.0021975
0.481,-0.00193585
0.482,-0.00170293
0.483,-0.00147942
0.484,-0.00126543
0.485,-0.00109532
0.486,-0.000935762
0.487,-0.000782961
0.488,-0.000647721
0.489,-0.000541599
0.49,-0.000439589
0.491,-0.000341727
0.492,-0.000271177
0.493,-0.000210153
0.494,-0.000151078
0.495,-0.000100782
0.496,-7.27979e-05
0.497,-4.53174e-05
0.498,-1.83423e-05
0.499,-1.15582e-05
0.5,-1.15582e-05
0.501,-1.15582e-05
0.502,-1.83423e-05
0.503,-4.53174e-05
0.504,-7.27979e-05
0.505,-0.000100782
0.506,-0.000151078
0.507,-0.000210153
0.508,-0.000271177
0.509,-0.000341727
0.51,-0.000439589
0.511,-0.000541599
0.512,-0.000647721
0.513,-0.000782961
0.514,-0.000935762
0.515,-0.00109532
0.516,-0.00126543
0.517,-0.00147942
0.518,-0.00170293
0.519,-0.00193585
0.52,-0.0021975
0.521,-0.00249438
0.522,-0.00280317
0.523,-0.00312368
0.524,-0.00348892
0.525,-0.00388
0.526,-0.00428472
0.527,-0.00470284
0.528,-0.00517571
0.529,-0.00566638
0.53,-0.0061715
0.531,-0.00669235
0.532,-0.00726572
0.533,-0.00785356
0.534,-0.00845559
0.535,-0.00907292
0.536,-0.00973347
0.537,-0.010407
0.538,-0.0110933
0.539,-0.011792
0.54,-0.0125186
0.541,-0.0132565
0.542,-0.0140044
0.543,-0.0147622
0.544,-0.0155272
0.545,-0.0162979
0.546,-0.0170747
0.547,-0.0177563
0.548,-0.0180484
0.549,-0.018257
0.55,-0.0184226
0.551,-0.0185462
0.552,-0.0186288
0.553,-0.0185736
0.554,-0.018451
0.555,-0.0182785
0.556,-0.0180573
0.557,-0.0177557
0.558,-0.0172689
0.559,-0.0167239
0.56,-0.0161219
0.561,-0.0154642
0.562,-0.014663
0.563,-0.0136641
0.564,-0.0125995
0.565,-0.0114706
0.566,-0.0102788
0.567,-0.00890022
0.568,-0.00728749
0.569,-0.00560148
0.57,-0.00384369
0.571,-0.00201564
0.572,-1.10565e-05
0.573,0.00231926
0.574,0.00559888
0.575,0.00899044
0.576,0.0124855
0.577,0.016082
0.578,0.0202483
0.579,0.0245275
0.58,0.0289171
0.581,0.0334151
0.582,0.0380192
0.583,0.0430082
0.584,0.0483685
0.585,0.0538432
0.586,0.0594304
0.587,0.0651277
0.588,0.0709331
0.589,0.0774491
0.59,0.0841815
0.591,0.0910335
0.592,0.098003
0.593,0.105088
0.594,0.112284
0.595,0.11951
0.596,0.126833
0.597,0.134251
0.598,0.141763
0.599,0.149994
0.6,0.158442
0.601,0.168741
0.602,0.179193
0.603,0.189795
0.604,0.200549
0.605,0.211453
0.606,0.222507
0.607,0.233493
0.608,0.244516
0.609,0.255651
0.61,0.2669
0.611,0.278262
0.612,0.289736
0.613,0.301361
0.614,0.313967
0.615,0.326878
0.616,0.339878
0.617,0.352966
0.618,0.366143
0.619,0.379407
0.62,0.392766
0.621,0.406483
0.622,0.42028
