"arc_length","U_X"
0,0.0257378
0.000999987,0.0291546
0.002,0.0325714
0.00299999,0.0359882
0.00400001,0.039405
0.005,0.0428218
0.00600001,0.0462387
0.007,0.0496554
0.00799999,0.0530722
0.009,0.0564891
0.00999999,0.0599058
0.011,0.0633227
0.012,0.0667394
0.013,0.0701563
0.014,0.0735731
0.015,0.0769898
0.016,0.0804067
0.017,0.0838235
0.018,0.0872403
0.019,0.0906571
0.02,0.0940739
0.021,0.0974907
0.022,0.100908
0.023,0.10513
0.024,0.109583
0.025,0.114036
0.026,0.118489
0.027,0.122942
0.028,0.127394
0.029,0.131847
0.03,0.1363
0.031,0.140753
0.032,0.145206
0.033,0.149659
0.034,0.154112
0.035,0.158565
0.036,0.163018
0.037,0.16747
0.038,0.171923
0.039,0.176376
0.04,0.180829
0.041,0.185282
0.042,0.189735
0.043,0.194188
0.044,0.19864
0.045,0.203018
0.046,0.207336
0.047,0.211653
0.048,0.215971
0.049,0.220289
0.05,0.224606
0.051,0.228924
0.052,0.233241
0.053,0.237559
0.054,0.241876
0.055,0.246194
0.056,0.250512
0.057,0.254829
0.058,0.259147
0.059,0.263464
0.06,0.267782
0.061,0.2721
0.062,0.276417
0.063,0.280735
0.064,0.285052
0.065,0.28937
0.066,0.293688
0.067,0.297955
0.068,0.30212
0.069,0.306286
0.07,0.310452
0.071,0.314617
0.072,0.318783
0.073,0.322949
0.074,0.327114
0.075,0.33128
0.076,0.335445
0.077,0.339611
0.078,0.343777
0.079,0.347942
0.08,0.352108
0.081,0.356274
0.082,0.360439
0.083,0.364605
0.084,0.368771
0.085,0.372936
0.086,0.377102
0.087,0.381268
0.088,0.385433
0.089,0.389579
0.09,0.393567
0.091,0.397555
0.092,0.401543
0.093,0.405531
0.094,0.409519
0.095,0.413507
0.096,0.417495
0.097,0.421483
0.098,0.425471
0.099,0.429459
0.1,0.433447
0.101,0.437435
0.102,0.441423
0.103,0.445411
0.104,0.449399
0.105,0.453387
0.106,0.457375
0.107,0.461363
0.108,0.465351
0.109,0.469339
0.11,0.473327
0.111,0.477315
0.112,0.481111
0.113,0.484884
0.114,0.488656
0.115,0.492429
0.116,0.496201
0.117,0.499974
0.118,0.503746
0.119,0.507518
0.12,0.511291
0.121,0.515063
0.122,0.518836
0.123,0.522608
0.124,0.526381
0.125,0.530153
0.126,0.533925
0.127,0.537698
0.128,0.54147
0.129,0.545243
0.13,0.549015
0.131,0.552788
0.132,0.55656
0.133,0.560333
0.134,0.563928
0.135,0.567434
0.136,0.57094
0.137,0.574447
0.138,0.577953
0.139,0.58146
0.14,0.584966
0.141,0.588472
0.142,0.591979
0.143,0.595485
0.144,0.598992
0.145,0.602498
0.146,0.606004
0.147,0.609511
0.148,0.613017
0.149,0.616524
0.15,0.62003
0.151,0.623536
0.152,0.627043
0.153,0.630549
0.154,0.634056
0.155,0.637562
0.156,0.640923
0.157,0.644102
0.158,0.647282
0.159,0.650461
0.16,0.65364
0.161,0.65682
0.162,0.659999
0.163,0.663178
0.164,0.666357
0.165,0.669537
0.166,0.672716
0.167,0.675895
0.168,0.679075
0.169,0.682254
0.17,0.685433
0.171,0.688612
0.172,0.691792
0.173,0.694971
0.174,0.69815
0.175,0.70133
0.176,0.704509
0.177,0.707688
0.178,0.71078
0.179,0.713565
0.18,0.71635
0.181,0.719134
0.182,0.721919
0.183,0.724704
0.184,0.727489
0.185,0.730274
0.186,0.733058
0.187,0.735843
0.188,0.738628
0.189,0.741413
0.19,0.744198
0.191,0.746983
0.192,0.749767
0.193,0.752552
0.194,0.755337
0.195,0.758122
0.196,0.760907
0.197,0.763692
0.198,0.766476
0.199,0.769261
0.2,0.772046
0.201,0.774369
0.202,0.776692
0.203,0.779015
0.204,0.781337
0.205,0.78366
0.206,0.785983
0.207,0.788306
0.208,0.790629
0.209,0.792952
0.21,0.795275
0.211,0.797597
0.212,0.79992
0.213,0.802243
0.214,0.804566
0.215,0.806889
0.216,0.809212
0.217,0.811535
0.218,0.813857
0.219,0.81618
0.22,0.818503
0.221,0.820826
0.222,0.823149
0.223,0.825066
0.224,0.826866
0.225,0.828667
0.226,0.830468
0.227,0.832268
0.228,0.834069
0.229,0.83587
0.23,0.83767
0.231,0.839471
0.232,0.841272
0.233,0.843072
0.234,0.844873
0.235,0.846674
0.236,0.848474
0.237,0.850275
0.238,0.852076
0.239,0.853876
0.24,0.855677
0.241,0.857478
0.242,0.859278
0.243,0.861079
0.244,0.86288
0.245,0.864365
0.246,0.865599
0.247,0.866832
0.248,0.868066
0.249,0.869299
0.25,0.870533
0.251,0.871766
0.252,0.873
0.253,0.874233
0.254,0.875467
0.255,0.8767
0.256,0.877934
0.257,0.879167
0.258,0.880401
0.259,0.881635
0.26,0.882868
0.261,0.884102
0.262,0.885335
0.263,0.886569
0.264,0.887802
0.265,0.889036
0.266,0.890269
0.267,0.891306
0.268,0.891951
0.269,0.892595
0.27,0.89324
0.271,0.893884
0.272,0.894529
0.273,0.895173
0.274,0.895818
0.275,0.896462
0.276,0.897107
0.277,0.897751
0.278,0.898395
0.279,0.89904
0.28,0.899684
0.281,0.900329
0.282,0.900973
0.283,0.901618
0.284,0.902262
0.285,0.902907
0.286,0.903551
0.287,0.904196
0.288,0.90484
0.289,0.90542
0.29,0.905484
0.291,0.905548
0.292,0.905612
0.293,0.905676
0.294,0.90574
0.295,0.905805
0.296,0.905869
0.297,0.905933
0.298,0.905997
0.299,0.906061
0.3,0.906125
0.301,0.906189
0.302,0.906253
0.303,0.906317
0.304,0.906381
0.305,0.906445
0.306,0.906509
0.307,0.906573
0.308,0.906637
0.309,0.906701
0.31,0.906765
0.311,0.906829
0.312,0.906418
0.313,0.905946
0.314,0.905475
0.315,0.905004
0.316,0.904532
0.317,0.904061
0.318,0.90359
0.319,0.903118
0.32,0.902647
0.321,0.902176
0.322,0.901704
0.323,0.901233
0.324,0.900762
0.325,0.90029
0.326,0.899819
0.327,0.899348
0.328,0.898876
0.329,0.898405
0.33,0.897934
0.331,0.897462
0.332,0.896991
0.333,0.89652
0.334,0.895748
0.335,0.894825
0.336,0.893903
0.337,0.89298
0.338,0.892058
0.339,0.891136
0.34,0.890213
0.341,0.889291
0.342,0.888369
0.343,0.887446
0.344,0.886524
0.345,0.885602
0.346,0.884679
0.347,0.883757
0.348,0.882834
0.349,0.881912
0.35,0.88099
0.351,0.880067
0.352,0.879145
0.353,0.878223
0.354,0.8773
0.355,0.876378
0.356,0.875309
0.357,0.874058
0.358,0.872807
0.359,0.871556
0.36,0.870305
0.361,0.869054
0.362,0.867803
0.363,0.866552
0.364,0.865301
0.365,0.86405
0.366,0.862799
0.367,0.861548
0.368,0.860297
0.369,0.859046
0.37,0.857795
0.371,0.856544
0.372,0.855293
0.373,0.854042
0.374,0.852791
0.375,0.85154
0.376,0.850289
0.377,0.849038
0.378,0.847748
0.379,0.846322
0.38,0.844896
0.381,0.843469
0.382,0.842043
0.383,0.840617
0.384,0.83919
0.385,0.837764
0.386,0.836338
0.387,0.834912
0.388,0.833485
0.389,0.832059
0.39,0.830633
0.391,0.829206
0.392,0.82778
0.393,0.826354
0.394,0.824928
0.395,0.823501
0.396,0.822075
0.397,0.820649
0.398,0.819223
0.399,0.817796
0.4,0.81637
0.401,0.81494
0.402,0.813511
0.403,0.812081
0.404,0.810651
0.405,0.809221
0.406,0.807792
0.407,0.806362
0.408,0.804932
0.409,0.803502
0.41,0.802073
0.411,0.800643
0.412,0.799213
0.413,0.797783
0.414,0.796354
0.415,0.794924
0.416,0.793494
0.417,0.792064
0.418,0.790635
0.419,0.789205
0.42,0.787775
0.421,0.786345
0.422,0.784916
0.423,0.783618
0.424,0.782357
0.425,0.781097
0.426,0.779836
0.427,0.778576
0.428,0.777315
0.429,0.776055
0.43,0.774794
0.431,0.773533
0.432,0.772273
0.433,0.771012
0.434,0.769752
0.435,0.768491
0.436,0.767231
0.437,0.76597
0.438,0.76471
0.439,0.763449
0.44,0.762189
0.441,0.760928
0.442,0.759668
0.443,0.758407
0.444,0.757147
0.445,0.756065
0.446,0.755128
0.447,0.75419
0.448,0.753252
0.449,0.752314
0.45,0.751377
0.451,0.750439
0.452,0.749501
0.453,0.748563
0.454,0.747626
0.455,0.746688
0.456,0.74575
0.457,0.744812
0.458,0.743874
0.459,0.742937
0.46,0.741999
0.461,0.741061
0.462,0.740123
0.463,0.739186
0.464,0.738248
0.465,0.73731
0.466,0.736372
0.467,0.73558
0.468,0.735081
0.469,0.734581
0.47,0.734081
0.471,0.733581
0.472,0.733081
0.473,0.732582
0.474,0.732082
0.475,0.731582
0.476,0.731082
0.477,0.730582
0.478,0.730083
0.479,0.729583
0.48,0.729083
0.481,0.728583
0.482,0.728083
0.483,0.727584
0.484,0.727084
0.485,0.726584
0.486,0.726084
0.487,0.725585
0.488,0.725085
0.489,0.72464
0.49,0.72464
0.491,0.72464
0.492,0.72464
0.493,0.72464
0.494,0.72464
0.495,0.72464
0.496,0.72464
0.497,0.72464
0.498,0.72464
0.499,0.72464
0.5,0.72464
0.501,0.72464
0.502,0.72464
0.503,0.72464
0.504,0.72464
0.505,0.72464
0.506,0.72464
0.507,0.72464
0.508,0.72464
0.509,0.72464
0.51,0.72464
0.511,0.72464
0.512,0.725085
0.513,0.725585
0.514,0.726084
0.515,0.726584
0.516,0.727084
0.517,0.727584
0.518,0.728083
0.519,0.728583
0.52,0.729083
0.521,0.729583
0.522,0.730083
0.523,0.730582
0.524,0.731082
0.525,0.731582
0.526,0.732082
0.527,0.732582
0.528,0.733081
0.529,0.733581
0.53,0.734081
0.531,0.734581
0.532,0.735081
0.533,0.73558
0.534,0.736372
0.535,0.73731
0.536,0.738248
0.537,0.739186
0.538,0.740123
0.539,0.741061
0.54,0.741999
0.541,0.742937
0.542,0.743874
0.543,0.744812
0.544,0.74575
0.545,0.746688
0.546,0.747626
0.547,0.748563
0.548,0.749501
0.549,0.750439
0.55,0.751377
0.551,0.752314
0.552,0.753252
0.553,0.75419
0.554,0.755128
0.555,0.756065
0.556,0.757147
0.557,0.758407
0.558,0.759668
0.559,0.760928
0.56,0.762189
0.561,0.763449
0.562,0.76471
0.563,0.76597
0.564,0.767231
0.565,0.768491
0.566,0.769752
0.567,0.771012
0.568,0.772273
0.569,0.773533
0.57,0.774794
0.571,0.776055
0.572,0.777315
0.573,0.778576
0.574,0.779836
0.575,0.781097
0.576,0.782357
0.577,0.783618
0.578,0.784916
0.579,0.786345
0.58,0.787775
0.581,0.789205
0.582,0.790635
0.583,0.792064
0.584,0.793494
0.585,0.794924
0.586,0.796354
0.587,0.797783
0.588,0.799213
0.589,0.800643
0.59,0.802073
0.591,0.803502
0.592,0.804932
0.593,0.806362
0.594,0.807792
0.595,0.809221
0.596,0.810651
0.597,0.812081
0.598,0.813511
0.599,0.81494
0.6,0.81637
0.601,0.817796
0.602,0.819223
0.603,0.820649
0.604,0.822075
0.605,0.823501
0.606,0.824928
0.607,0.826354
0.608,0.82778
0.609,0.829206
0.61,0.830633
0.611,0.832059
0.612,0.833485
0.613,0.834912
0.614,0.836338
0.615,0.837764
0.616,0.83919
0.617,0.840617
0.618,0.842043
0.619,0.843469
0.62,0.844896
0.621,0.846322
0.622,0.847748
0.623,0.849038
0.624,0.850289
0.625,0.85154
0.626,0.852791
0.627,0.854042
0.628,0.855293
0.629,0.856544
0.63,0.857795
0.631,0.859046
0.632,0.860297
0.633,0.861548
0.634,0.862799
0.635,0.86405
0.636,0.865301
0.637,0.866552
0.638,0.867803
0.639,0.869054
0.64,0.870305
0.641,0.871556
0.642,0.872807
0.643,0.874058
0.644,0.875309
0.645,0.876378
0.646,0.8773
0.647,0.878223
0.648,0.879145
0.649,0.880067
0.65,0.88099
0.651,0.881912
0.652,0.882834
0.653,0.883757
0.654,0.884679
0.655,0.885602
0.656,0.886524
0.657,0.887446
0.658,0.888369
0.659,0.889291
0.66,0.890213
0.661,0.891136
0.662,0.892058
0.663,0.89298
0.664,0.893903
0.665,0.894825
0.666,0.895748
0.667,0.89652
0.668,0.896991
0.669,0.897462
0.67,0.897934
0.671,0.898405
0.672,0.898876
0.673,0.899348
0.674,0.899819
0.675,0.90029
0.676,0.900762
0.677,0.901233
0.678,0.901704
0.679,0.902176
0.68,0.902647
0.681,0.903118
0.682,0.90359
0.683,0.904061
0.684,0.904532
0.685,0.905004
0.686,0.905475
0.687,0.905946
0.688,0.906418
0.689,0.906829
0.69,0.906765
0.691,0.906701
0.692,0.906637
0.693,0.906573
0.694,0.906509
0.695,0.906445
0.696,0.906381
0.697,0.906317
0.698,0.906253
0.699,0.906189
0.7,0.906125
0.701,0.906061
0.702,0.905997
0.703,0.905933
0.704,0.905869
0.705,0.905805
0.706,0.90574
0.707,0.905676
0.708,0.905612
0.709,0.905548
0.71,0.905484
0.711,0.90542
0.712,0.90484
0.713,0.904196
0.714,0.903551
0.715,0.902907
0.716,0.902262
0.717,0.901618
0.718,0.900973
0.719,0.900329
0.72,0.899684
0.721,0.89904
0.722,0.898395
0.723,0.897751
0.724,0.897107
0.725,0.896462
0.726,0.895818
0.727,0.895173
0.728,0.894529
0.729,0.893884
0.73,0.89324
0.731,0.892595
0.732,0.891951
0.733,0.891306
0.734,0.890269
0.735,0.889036
0.736,0.887802
0.737,0.886569
0.738,0.885335
0.739,0.884102
