"arc_length","U_X"
0,-4.96502e-16
0.000999987,0.0190352
0.002,0.0380605
0.00299999,0.0570747
0.00400001,0.0754833
0.005,0.0934907
0.00600001,0.111492
0.007,0.129281
0.00799999,0.146257
0.009,0.163232
0.00999999,0.180203
0.011,0.196351
0.012,0.212296
0.013,0.228241
0.014,0.243776
0.015,0.258693
0.016,0.27361
0.017,0.288524
0.018,0.302419
0.019,0.316312
0.02,0.33021
0.021,0.343517
0.022,0.356408
0.023,0.369306
0.024,0.382036
0.025,0.393951
0.026,0.405875
0.027,0.417808
0.028,0.429012
0.029,0.439997
0.03,0.450993
0.031,0.461664
0.032,0.471741
0.033,0.48183
0.034,0.49193
0.035,0.501223
0.036,0.51047
0.037,0.519728
0.038,0.528576
0.039,0.53704
0.04,0.545515
0.041,0.553932
0.042,0.561675
0.043,0.56943
0.044,0.577195
0.045,0.584498
0.046,0.591584
0.047,0.598682
0.048,0.605641
0.049,0.61214
0.05,0.61865
0.051,0.62517
0.052,0.631251
0.053,0.637239
0.054,0.643236
0.055,0.649059
0.056,0.654588
0.057,0.660124
0.058,0.665658
0.059,0.6708
0.06,0.675927
0.061,0.681062
0.062,0.68602
0.063,0.690804
0.064,0.695596
0.065,0.700375
0.066,0.704867
0.067,0.709367
0.068,0.713872
0.069,0.71822
0.07,0.722461
0.071,0.726708
0.072,0.730921
0.073,0.734956
0.074,0.738995
0.075,0.743039
0.076,0.746955
0.077,0.750822
0.078,0.754694
0.079,0.758529
0.08,0.762254
0.081,0.765979
0.082,0.7697
0.083,0.773322
0.084,0.776922
0.085,0.780526
0.086,0.784096
0.087,0.7876
0.088,0.791106
0.089,0.794615
0.09,0.79805
0.091,0.801477
0.092,0.804902
0.093,0.808294
0.094,0.811643
0.095,0.814995
0.096,0.818349
0.097,0.821648
0.098,0.824944
0.099,0.828243
0.1,0.831521
0.101,0.83477
0.102,0.838022
0.103,0.841267
0.104,0.844468
0.105,0.847669
0.106,0.850872
0.107,0.854058
0.108,0.857224
0.109,0.860392
0.11,0.863562
0.111,0.866698
0.112,0.869834
0.113,0.872963
0.114,0.876077
0.115,0.879175
0.116,0.882275
0.117,0.885376
0.118,0.888449
0.119,0.891522
0.12,0.894597
0.121,0.89766
0.122,0.900705
0.123,0.903744
0.124,0.906786
0.125,0.909803
0.126,0.912819
0.127,0.915836
0.128,0.918844
0.129,0.921837
0.13,0.924831
0.131,0.927824
0.132,0.930787
0.133,0.933749
0.134,0.936712
0.135,0.939668
0.136,0.942607
0.137,0.945547
0.138,0.948489
0.139,0.951412
0.14,0.954323
0.141,0.957232
0.142,0.960138
0.143,0.963023
0.144,0.96591
0.145,0.968799
0.146,0.971671
0.147,0.974535
0.148,0.977397
0.149,0.980252
0.15,0.983083
0.151,0.985917
0.152,0.988751
0.153,0.991573
0.154,0.994383
0.155,0.997194
0.156,1
0.157,1.00278
0.158,1.00556
0.159,1.00834
0.16,1.01111
0.161,1.01387
0.162,1.01662
0.163,1.01938
0.164,1.02211
0.165,1.02483
0.166,1.02756
0.167,1.03028
0.168,1.03298
0.169,1.03568
0.17,1.03838
0.171,1.04106
0.172,1.04373
0.173,1.0464
0.174,1.04906
0.175,1.05171
0.176,1.05435
0.177,1.05699
0.178,1.05962
0.179,1.06223
0.18,1.06484
0.181,1.06745
0.182,1.07005
0.183,1.07263
0.184,1.07521
0.185,1.07779
0.186,1.08034
0.187,1.08288
0.188,1.08543
0.189,1.08798
0.19,1.0905
0.191,1.09301
0.192,1.09553
0.193,1.09803
0.194,1.10052
0.195,1.103
0.196,1.10549
0.197,1.10795
0.198,1.1104
0.199,1.11285
0.2,1.1153
0.201,1.11772
0.202,1.12014
0.203,1.12257
0.204,1.12497
0.205,1.12735
0.206,1.12974
0.207,1.13212
0.208,1.13449
0.209,1.13684
0.21,1.13919
0.211,1.14154
0.212,1.14386
0.213,1.14618
0.214,1.1485
0.215,1.15081
0.216,1.15309
0.217,1.15537
0.218,1.15765
0.219,1.15992
0.22,1.16217
0.221,1.16441
0.222,1.16664
0.223,1.16887
0.224,1.17108
0.225,1.17328
0.226,1.17548
0.227,1.17767
0.228,1.17984
0.229,1.182
0.23,1.18417
0.231,1.18632
0.232,1.18843
0.233,1.19055
0.234,1.19266
0.235,1.19476
0.236,1.19685
0.237,1.19893
0.238,1.20101
0.239,1.20307
0.24,1.20512
0.241,1.20714
0.242,1.20911
0.243,1.21107
0.244,1.21301
0.245,1.21495
0.246,1.21712
0.247,1.21939
0.248,1.22164
0.249,1.22388
0.25,1.22612
0.251,1.22778
0.252,1.22944
0.253,1.2311
0.254,1.23275
0.255,1.23448
0.256,1.2363
0.257,1.23811
0.258,1.23992
0.259,1.24173
0.26,1.24348
0.261,1.24521
0.262,1.24695
0.263,1.24867
0.264,1.25037
0.265,1.25203
0.266,1.25368
0.267,1.25533
0.268,1.25697
0.269,1.25851
0.27,1.26003
0.271,1.26154
0.272,1.26305
0.273,1.26449
0.274,1.26584
0.275,1.26717
0.276,1.2685
0.277,1.26982
0.278,1.27092
0.279,1.27199
0.28,1.27306
0.281,1.27412
0.282,1.27501
0.283,1.27573
0.284,1.27643
0.285,1.27711
0.286,1.27773
0.287,1.27792
0.288,1.27808
0.289,1.27822
0.29,1.27834
0.291,1.27806
0.292,1.27752
0.293,1.27695
