"arc_length","U_X"
0,0.0207455
0.000999987,0.0281742
0.002,0.0356031
0.00299999,0.0430318
0.00400001,0.0504607
0.005,0.0578894
0.00600001,0.0653183
0.007,0.072747
0.00799999,0.0801757
0.009,0.0891667
0.00999999,0.0989385
0.011,0.108711
0.012,0.118482
0.013,0.128255
0.014,0.138026
0.015,0.147798
0.016,0.15757
0.017,0.167251
0.018,0.17675
0.019,0.186248
0.02,0.195747
0.021,0.205246
0.022,0.214745
0.023,0.224243
0.024,0.233742
0.025,0.243241
0.026,0.252346
0.027,0.261452
0.028,0.270558
0.029,0.279664
0.03,0.28877
0.031,0.297876
0.032,0.306982
0.033,0.316088
0.034,0.324856
0.035,0.333455
0.036,0.342055
0.037,0.350654
0.038,0.359254
0.039,0.367853
0.04,0.376453
0.041,0.385052
0.042,0.39345
0.043,0.401444
0.044,0.409437
0.045,0.417431
0.046,0.425425
0.047,0.433419
0.048,0.441413
0.049,0.449407
0.05,0.457401
0.051,0.46471
0.052,0.47202
0.053,0.47933
0.054,0.48664
0.055,0.49395
0.056,0.501259
0.057,0.508569
0.058,0.515879
0.059,0.522696
0.06,0.529266
0.061,0.535836
0.062,0.542407
0.063,0.548977
0.064,0.555547
0.065,0.562118
0.066,0.568688
0.067,0.575001
0.068,0.5808
0.069,0.5866
0.07,0.592399
0.071,0.598198
0.072,0.603998
0.073,0.609797
0.074,0.615596
0.075,0.621395
0.076,0.626416
0.077,0.631437
0.078,0.636457
0.079,0.641478
0.08,0.646498
0.081,0.651519
0.082,0.656539
0.083,0.66156
0.084,0.666071
0.085,0.670328
0.086,0.674585
0.087,0.678841
0.088,0.683098
0.089,0.687355
0.09,0.691612
0.091,0.695868
0.092,0.699882
0.093,0.70341
0.094,0.706938
0.095,0.710466
0.096,0.713994
0.097,0.717522
0.098,0.72105
0.099,0.724578
0.1,0.728106
0.101,0.730958
0.102,0.733809
0.103,0.73666
0.104,0.739511
0.105,0.742362
0.106,0.745213
0.107,0.748064
0.108,0.750915
0.109,0.753356
0.11,0.755593
0.111,0.75783
0.112,0.760067
0.113,0.762304
0.114,0.764541
0.115,0.766778
0.116,0.769015
