"arc_length","U_X"
0,0.0082986
0.000999987,0.0112611
0.002,0.0142236
0.00299999,0.0171861
0.00400001,0.0201486
0.005,0.0231111
0.00600001,0.0260737
0.007,0.0290361
0.00799999,0.0319986
0.009,0.0355861
0.00999999,0.0394861
0.011,0.0433861
0.012,0.0472861
0.013,0.0511861
0.014,0.0550861
0.015,0.058986
0.016,0.0628861
0.017,0.0667638
0.018,0.0705972
0.019,0.0744305
0.02,0.0782639
0.021,0.0820972
0.022,0.0859306
0.023,0.0897639
0.024,0.0935972
0.025,0.0974306
0.026,0.101197
0.027,0.104964
0.028,0.108731
0.029,0.112497
0.03,0.116264
0.031,0.120031
0.032,0.123797
0.033,0.127564
0.034,0.131286
0.035,0.134986
0.036,0.138686
0.037,0.142386
0.038,0.146086
0.039,0.149786
0.04,0.153486
0.041,0.157186
0.042,0.160864
0.043,0.164498
0.044,0.168131
0.045,0.171764
0.046,0.175398
0.047,0.179031
0.048,0.182664
0.049,0.186298
0.05,0.189931
0.051,0.193498
0.052,0.197064
0.053,0.200631
0.054,0.204198
0.055,0.207764
0.056,0.211331
0.057,0.214898
0.058,0.218464
0.059,0.221986
0.06,0.225486
0.061,0.228986
0.062,0.232486
0.063,0.235986
0.064,0.239486
0.065,0.242986
0.066,0.246486
0.067,0.249964
0.068,0.253397
0.069,0.256831
0.07,0.260264
0.071,0.263697
0.072,0.267131
0.073,0.270564
0.074,0.273997
0.075,0.277431
0.076,0.280797
0.077,0.284164
0.078,0.287531
0.079,0.290897
0.08,0.294264
0.081,0.29763
0.082,0.300997
0.083,0.304364
0.084,0.307686
0.085,0.310986
0.086,0.314286
0.087,0.317586
0.088,0.320886
0.089,0.324186
0.09,0.327486
0.091,0.330786
0.092,0.334064
0.093,0.337297
0.094,0.340531
0.095,0.343764
0.096,0.346997
0.097,0.350231
0.098,0.353464
0.099,0.356697
0.1,0.359931
0.101,0.363097
0.102,0.366264
0.103,0.369431
0.104,0.372597
0.105,0.375764
0.106,0.378931
0.107,0.382097
0.108,0.385264
0.109,0.388386
0.11,0.391486
0.111,0.394586
0.112,0.397686
0.113,0.400786
0.114,0.403886
0.115,0.406986
0.116,0.410086
0.117,0.413164
0.118,0.416197
0.119,0.419231
0.12,0.422264
0.121,0.425298
0.122,0.428331
0.123,0.431364
0.124,0.434398
0.125,0.437431
0.126,0.440398
0.127,0.443364
0.128,0.446331
0.129,0.449298
0.13,0.452264
0.131,0.455231
0.132,0.458198
0.133,0.461164
0.134,0.464086
0.135,0.466986
0.136,0.469886
0.137,0.472786
0.138,0.475686
0.139,0.478586
0.14,0.481486
0.141,0.484386
0.142,0.487264
0.143,0.490097
0.144,0.492931
0.145,0.495764
0.146,0.498597
0.147,0.501431
0.148,0.504264
0.149,0.507097
0.15,0.50993
0.151,0.512697
0.152,0.515464
0.153,0.51823
0.154,0.520997
0.155,0.523764
0.156,0.52653
0.157,0.529297
0.158,0.532064
0.159,0.534786
0.16,0.537486
0.161,0.540186
0.162,0.542886
0.163,0.545586
0.164,0.548286
0.165,0.550986
0.166,0.553686
0.167,0.556364
0.168,0.558997
0.169,0.56163
0.17,0.564264
0.171,0.566897
0.172,0.56953
0.173,0.572164
0.174,0.574797
0.175,0.57743
0.176,0.579997
0.177,0.582564
0.178,0.585131
