"arc_length","U_X"
0,0
0.000999987,0.010215
0.002,0.0204303
0.00299999,0.0306454
0.00400001,0.0408607
0.005,0.0510757
0.00600001,0.061291
0.007,0.071506
0.00799999,0.0817211
0.009,0.0918414
0.00999999,0.101199
0.011,0.110557
0.012,0.119914
0.013,0.129272
0.014,0.138629
0.015,0.147987
0.016,0.157344
0.017,0.166702
0.018,0.175877
0.019,0.184408
0.02,0.19294
0.021,0.201471
0.022,0.210003
0.023,0.218535
0.024,0.227066
0.025,0.235598
0.026,0.24413
0.027,0.252404
0.028,0.260163
0.029,0.267921
0.03,0.27568
0.031,0.283438
0.032,0.291197
0.033,0.298955
0.034,0.306713
0.035,0.314472
0.036,0.321915
0.037,0.328961
0.038,0.336007
0.039,0.343053
0.04,0.350099
0.041,0.357145
0.042,0.364192
0.043,0.371238
0.044,0.378284
0.045,0.384973
0.046,0.391375
0.047,0.397777
0.048,0.404179
0.049,0.410581
0.05,0.416983
0.051,0.423385
0.052,0.429787
0.053,0.436189
0.054,0.44221
0.055,0.44804
0.056,0.453869
0.057,0.459699
0.058,0.465528
0.059,0.471358
0.06,0.477187
0.061,0.483016
0.062,0.488846
0.063,0.494287
0.064,0.499617
0.065,0.504946
0.066,0.510275
0.067,0.515604
0.068,0.520933
0.069,0.526262
0.07,0.531591
0.071,0.53692
0.072,0.541868
0.073,0.546766
0.074,0.551665
0.075,0.556563
0.076,0.561462
0.077,0.566361
0.078,0.571259
0.079,0.576158
0.08,0.581056
0.081,0.585591
0.082,0.590125
0.083,0.594658
0.084,0.599192
0.085,0.603726
0.086,0.608259
0.087,0.612793
0.088,0.617326
0.089,0.621827
0.09,0.626055
0.091,0.630283
0.092,0.634511
0.093,0.638739
0.094,0.642968
0.095,0.647196
0.096,0.651424
0.097,0.655652
0.098,0.659824
0.099,0.663799
0.1,0.667774
0.101,0.671749
0.102,0.675723
0.103,0.679698
0.104,0.683673
0.105,0.687647
0.106,0.691622
0.107,0.695528
0.108,0.699295
0.109,0.703061
0.11,0.706827
0.111,0.710594
0.112,0.71436
0.113,0.718126
0.114,0.721893
0.115,0.725659
0.116,0.72935
0.117,0.732946
0.118,0.736541
0.119,0.740136
0.12,0.743732
0.121,0.747327
0.122,0.750923
0.123,0.754518
0.124,0.758114
0.125,0.761632
0.126,0.765087
0.127,0.768542
0.128,0.771997
0.129,0.775452
0.13,0.778907
0.131,0.782362
0.132,0.785817
0.133,0.789272
0.134,0.792651
0.135,0.79599
0.136,0.799329
0.137,0.802668
0.138,0.806007
0.139,0.809346
0.14,0.812686
0.141,0.816025
0.142,0.819364
0.143,0.822628
0.144,0.825871
0.145,0.829113
0.146,0.832355
0.147,0.835598
0.148,0.83884
0.149,0.842082
0.15,0.845325
0.151,0.848567
0.152,0.851737
0.153,0.854897
0.154,0.858057
0.155,0.861217
0.156,0.864377
0.157,0.867537
0.158,0.870697
0.159,0.873858
0.16,0.877018
0.161,0.880107
0.162,0.883196
0.163,0.886285
0.164,0.889374
0.165,0.892463
0.166,0.895552
0.167,0.898641
0.168,0.901731
0.169,0.904813
0.17,0.907839
0.171,0.910865
0.172,0.913892
0.173,0.916918
0.174,0.919944
0.175,0.922971
0.176,0.925997
0.177,0.929023
0.178,0.932037
0.179,0.935007
0.18,0.937977
0.181,0.940947
0.182,0.943917
0.183,0.946886
0.184,0.949856
0.185,0.952826
0.186,0.955796
0.187,0.958749
0.188,0.961667
0.189,0.964586
0.19,0.967504
0.191,0.970422
0.192,0.973341
0.193,0.976259
0.194,0.979177
0.195,0.982095
0.196,0.984993
0.197,0.987863
0.198,0.990733
0.199,0.993604
0.2,0.996474
0.201,0.999344
0.202,1.00221
0.203,1.00508
0.204,1.00796
0.205,1.0108
0.206,1.01363
0.207,1.01645
0.208,1.01928
0.209,1.0221
0.21,1.02493
0.211,1.02775
0.212,1.03058
0.213,1.0334
0.214,1.0362
0.215,1.03898
0.216,1.04177
0.217,1.04455
0.218,1.04733
0.219,1.05012
0.22,1.0529
0.221,1.05568
0.222,1.05847
0.223,1.06122
0.224,1.06396
0.225,1.0667
0.226,1.06945
0.227,1.07219
0.228,1.07493
0.229,1.07767
0.23,1.08042
0.231,1.08316
0.232,1.08586
0.233,1.08857
0.234,1.09127
0.235,1.09397
0.236,1.09667
0.237,1.09937
0.238,1.10208
0.239,1.10478
0.24,1.10748
0.241,1.11014
0.242,1.1128
0.243,1.11546
0.244,1.11812
0.245,1.12078
0.246,1.12344
0.247,1.1261
0.248,1.12876
0.249,1.13141
0.25,1.13403
0.251,1.13664
0.252,1.13925
0.253,1.14186
0.254,1.14447
0.255,1.14708
0.256,1.1497
0.257,1.15231
0.258,1.15491
0.259,1.15745
0.26,1.16
0.261,1.16255
0.262,1.1651
0.263,1.16765
0.264,1.1702
0.265,1.17275
0.266,1.1753
0.267,1.17782
0.268,1.18028
0.269,1.18274
0.27,1.1852
0.271,1.18766
0.272,1.19012
0.273,1.19258
0.274,1.19504
0.275,1.1975
0.276,1.1999
0.277,1.20222
0.278,1.20454
0.279,1.20686
0.28,1.20919
0.281,1.21151
0.282,1.21383
0.283,1.21615
0.284,1.21847
0.285,1.22067
0.286,1.22277
0.287,1.22487
0.288,1.22696
0.289,1.22906
0.29,1.23116
0.291,1.23326
0.292,1.23535
0.293,1.23745
0.294,1.23931
0.295,1.24105
0.296,1.24278
0.297,1.24451
0.298,1.24625
0.299,1.24798
0.3,1.24972
0.301,1.25145
0.302,1.25319
0.303,1.25447
0.304,1.25563
0.305,1.25678
0.306,1.25793
0.307,1.25908
0.308,1.26023
0.309,1.26138
0.31,1.26254
0.311,1.26369
0.312,1.26404
0.313,1.26428
0.314,1.26452
0.315,1.26476
0.316,1.265
0.317,1.26524
0.318,1.26548
0.319,1.26572
0.32,1.26596
0.321,1.26483
0.322,1.26369
0.323,1.26255
0.324,1.2614
0.325,1.26026
0.326,1.25911
0.327,1.25797
0.328,1.25683
0.329,1.25548
0.33,1.25232
0.331,1.24915
0.332,1.24599
0.333,1.24282
0.334,1.23966
0.335,1.23649
0.336,1.23333
0.337,1.23016
0.338,1.22641
0.339,1.22042
0.34,1.21443
0.341,1.20845
0.342,1.20246
0.343,1.19647
0.344,1.19048
0.345,1.18449
0.346,1.17851
0.347,1.17132
0.348,1.1616
0.349,1.15188
0.35,1.14216
0.351,1.13243
0.352,1.12271
0.353,1.11299
0.354,1.10327
0.355,1.09355
0.356,1.08183
0.357,1.06749
0.358,1.05315
0.359,1.03881
0.36,1.02447
0.361,1.01013
0.362,0.995792
0.363,0.981451
0.364,0.967111
0.365,0.949938
0.366,0.930367
0.367,0.910796
0.368,0.891225
0.369,0.871655
0.37,0.852084
0.371,0.832513
0.372,0.812942
0.373,0.793372
0.374,0.770347
0.375,0.745481
0.376,0.720616
0.377,0.695751
0.378,0.670886
0.379,0.64602
0.38,0.621155
0.381,0.59629
0.382,0.571425
0.383,0.543067
0.384,0.513627
0.385,0.484186
0.386,0.454745
0.387,0.425305
0.388,0.395864
0.389,0.366423
0.39,0.336983
0.391,0.307542
0.392,0.273959
0.393,0.23978
0.394,0.2056
0.395,0.17142
0.396,0.13724
0.397,0.10306
0.398,0.0688803
0.399,0.0347007
0.4,0.000520779
0.401,nan
0.402,nan
0.403,nan
0.404,nan
0.405,nan
0.406,nan
0.407,nan
0.408,nan
0.409,nan
0.41,nan
0.411,nan
0.412,nan
0.413,nan
0.414,nan
0.415,nan
0.416,nan
0.417,nan
0.418,nan
0.419,nan
0.42,nan
0.421,nan
0.422,nan
0.423,nan
0.424,nan
0.425,nan
0.426,nan
0.427,nan
0.428,nan
0.429,nan
0.43,nan
0.431,nan
0.432,nan
0.433,nan
0.434,nan
0.435,nan
0.436,nan
0.437,nan
0.438,nan
0.439,nan
0.44,nan
0.441,nan
0.442,nan
0.443,nan
0.444,nan
0.445,nan
0.446,nan
0.447,nan
0.448,nan
0.449,nan
0.45,nan
0.451,nan
0.452,nan
0.453,nan
0.454,nan
0.455,nan
0.456,nan
0.457,nan
0.458,nan
0.459,nan
0.46,nan
0.461,nan
0.462,nan
0.463,nan
0.464,nan
0.465,nan
0.466,nan
0.467,nan
0.468,nan
0.469,nan
0.47,nan
0.471,nan
0.472,nan
0.473,nan
0.474,nan
0.475,nan
0.476,nan
0.477,nan
0.478,nan
0.479,nan
0.48,nan
0.481,nan
0.482,nan
0.483,nan
0.484,nan
0.485,nan
0.486,nan
0.487,nan
0.488,nan
0.489,nan
0.49,nan
0.491,nan
0.492,nan
0.493,nan
0.494,nan
0.495,nan
0.496,nan
0.497,nan
0.498,nan
0.499,nan
0.5,nan
0.501,nan
0.502,nan
0.503,nan
0.504,nan
0.505,nan
0.506,nan
0.507,nan
0.508,nan
0.509,nan
0.51,nan
0.511,nan
0.512,nan
0.513,nan
0.514,nan
0.515,nan
0.516,nan
0.517,nan
0.518,nan
0.519,nan
0.52,nan
0.521,nan
0.522,nan
0.523,nan
0.524,nan
0.525,nan
0.526,nan
0.527,nan
0.528,nan
0.529,nan
0.53,nan
0.531,nan
0.532,nan
0.533,nan
0.534,nan
0.535,nan
0.536,nan
0.537,nan
0.538,nan
0.539,nan
0.54,nan
0.541,nan
0.542,nan
0.543,nan
0.544,nan
0.545,nan
0.546,nan
0.547,nan
0.548,nan
0.549,nan
0.55,nan
0.551,nan
0.552,nan
0.553,nan
0.554,nan
0.555,nan
0.556,nan
0.557,nan
0.558,nan
0.559,nan
0.56,nan
0.561,nan
0.562,nan
0.563,nan
0.564,nan
0.565,nan
0.566,nan
0.567,nan
0.568,nan
0.569,nan
0.57,nan
0.571,nan
0.572,nan
0.573,nan
0.574,nan
0.575,nan
0.576,nan
0.577,nan
0.578,nan
0.579,nan
0.58,nan
0.581,nan
0.582,nan
0.583,nan
0.584,nan
0.585,nan
0.586,nan
0.587,nan
0.588,nan
0.589,nan
0.59,nan
0.591,nan
0.592,nan
0.593,nan
0.594,nan
0.595,nan
0.596,nan
0.597,nan
0.598,nan
0.599,nan
0.6,0.000520779
0.601,0.0347007
0.602,0.0688803
0.603,0.10306
0.604,0.13724
0.605,0.17142
0.606,0.2056
0.607,0.23978
0.608,0.273959
0.609,0.307542
0.61,0.336983
0.611,0.366423
0.612,0.395864
0.613,0.425305
0.614,0.454745
0.615,0.484186
0.616,0.513627
0.617,0.543067
0.618,0.571425
0.619,0.59629
0.62,0.621155
0.621,0.64602
0.622,0.670886
0.623,0.695751
0.624,0.720616
0.625,0.745481
0.626,0.770347
0.627,0.793372
0.628,0.812942
0.629,0.832513
0.63,0.852084
0.631,0.871655
0.632,0.891225
0.633,0.910796
0.634,0.930367
0.635,0.949938
0.636,0.967111
0.637,0.981451
0.638,0.995792
0.639,1.01013
0.64,1.02447
0.641,1.03881
0.642,1.05315
0.643,1.06749
0.644,1.08183
0.645,1.09355
0.646,1.10327
0.647,1.11299
0.648,1.12271
0.649,1.13243
0.65,1.14216
0.651,1.15188
0.652,1.1616
0.653,1.17132
0.654,1.17851
0.655,1.18449
0.656,1.19048
0.657,1.19647
0.658,1.20246
0.659,1.20845
0.66,1.21443
0.661,1.22042
0.662,1.22641
0.663,1.23016
0.664,1.23333
0.665,1.23649
0.666,1.23966
0.667,1.24282
0.668,1.24599
0.669,1.24915
0.67,1.25232
0.671,1.25548
0.672,1.25683
0.673,1.25797
0.674,1.25911
0.675,1.26026
0.676,1.2614
0.677,1.26255
0.678,1.26369
0.679,1.26483
0.68,1.26596
0.681,1.26572
0.682,1.26548
0.683,1.26524
0.684,1.265
0.685,1.26476
0.686,1.26452
0.687,1.26428
0.688,1.26404
0.689,1.26369
0.69,1.26254
0.691,1.26138
0.692,1.26023
0.693,1.25908
0.694,1.25793
0.695,1.25678
0.696,1.25563
0.697,1.25447
0.698,1.25319
0.699,1.25145
0.7,1.24972
0.701,1.24798
0.702,1.24625
0.703,1.24451
0.704,1.24278
0.705,1.24105
0.706,1.23931
0.707,1.23745
0.708,1.23535
0.709,1.23326
0.71,1.23116
0.711,1.22906
0.712,1.22696
0.713,1.22487
0.714,1.22277
0.715,1.22067
0.716,1.21847
0.717,1.21615
0.718,1.21383
0.719,1.21151
0.72,1.20919
0.721,1.20686
0.722,1.20454
0.723,1.20222
0.724,1.1999
0.725,1.1975
0.726,1.19504
0.727,1.19258
0.728,1.19012
0.729,1.18766
0.73,1.1852
0.731,1.18274
0.732,1.18028
0.733,1.17782
0.734,1.1753
0.735,1.17275
0.736,1.1702
0.737,1.16765
0.738,1.1651
0.739,1.16255
0.74,1.16
0.741,1.15745
0.742,1.15491
0.743,1.15231
0.744,1.1497
0.745,1.14708
0.746,1.14447
0.747,1.14186
0.748,1.13925
0.749,1.13664
0.75,1.13403
0.751,1.13141
0.752,1.12876
0.753,1.1261
0.754,1.12344
0.755,1.12078
0.756,1.11812
0.757,1.11546
0.758,1.1128
0.759,1.11014
0.76,1.10748
0.761,1.10478
0.762,1.10208
0.763,1.09937
0.764,1.09667
0.765,1.09397
0.766,1.09127
0.767,1.08857
