"arc_length","U_X"
0,0.0219753
0.000999987,0.0248753
0.002,0.0277753
0.00299999,0.0306753
0.00400001,0.0335753
0.005,0.0364753
0.00600001,0.0393753
0.007,0.0422753
0.00799999,0.0451753
0.009,0.0480753
0.00999999,0.0509753
0.011,0.0538753
0.012,0.0567753
0.013,0.0596754
0.014,0.0625753
0.015,0.0654753
0.016,0.0683753
0.017,0.0712753
0.018,0.0741754
0.019,0.0770753
0.02,0.0799754
0.021,0.0828753
0.022,0.0857754
0.023,0.0893235
0.024,0.0930568
0.025,0.0967902
0.026,0.100524
0.027,0.104257
0.028,0.10799
0.029,0.111724
0.03,0.115457
0.031,0.11919
0.032,0.122924
0.033,0.126657
0.034,0.13039
0.035,0.134124
0.036,0.137857
0.037,0.14159
0.038,0.145324
0.039,0.149057
0.04,0.15279
0.041,0.156524
0.042,0.160257
0.043,0.16399
0.044,0.167724
0.045,0.171358
0.046,0.174914
0.047,0.178469
0.048,0.182025
0.049,0.185581
0.05,0.189136
0.051,0.192692
0.052,0.196247
0.053,0.199803
0.054,0.203358
0.055,0.206914
0.056,0.210469
0.057,0.214025
0.058,0.217581
0.059,0.221136
0.06,0.224692
0.061,0.228247
0.062,0.231803
0.063,0.235358
0.064,0.238914
0.065,0.24247
0.066,0.246025
0.067,0.249521
0.068,0.252899
0.069,0.256277
0.07,0.259655
0.071,0.263033
0.072,0.26641
0.073,0.269788
0.074,0.273166
0.075,0.276544
0.076,0.279921
0.077,0.283299
0.078,0.286677
0.079,0.290055
0.08,0.293432
0.081,0.29681
0.082,0.300188
0.083,0.303566
0.084,0.306943
0.085,0.310321
0.086,0.313699
0.087,0.317077
0.088,0.320455
0.089,0.323813
0.09,0.327013
0.091,0.330213
0.092,0.333413
0.093,0.336613
0.094,0.339813
0.095,0.343013
0.096,0.346213
0.097,0.349413
0.098,0.352612
0.099,0.355813
0.1,0.359013
0.101,0.362213
0.102,0.365413
0.103,0.368612
0.104,0.371813
0.105,0.375012
0.106,0.378213
0.107,0.381412
0.108,0.384613
0.109,0.387812
0.11,0.391013
0.111,0.394212
0.112,0.397254
0.113,0.400277
0.114,0.403299
0.115,0.406321
0.116,0.409343
0.117,0.412366
0.118,0.415388
0.119,0.41841
0.12,0.421432
0.121,0.424454
0.122,0.427477
0.123,0.430499
0.124,0.433521
0.125,0.436543
0.126,0.439566
0.127,0.442588
0.128,0.44561
0.129,0.448632
0.13,0.451654
0.131,0.454677
0.132,0.457699
0.133,0.460721
0.134,0.463625
0.135,0.466469
0.136,0.469314
0.137,0.472158
0.138,0.475003
0.139,0.477847
0.14,0.480691
0.141,0.483536
0.142,0.48638
0.143,0.489225
0.144,0.492069
0.145,0.494914
0.146,0.497758
0.147,0.500603
0.148,0.503447
0.149,0.506292
0.15,0.509136
0.151,0.51198
0.152,0.514825
0.153,0.517669
0.154,0.520514
0.155,0.523358
0.156,0.526124
0.157,0.52879
0.158,0.531457
0.159,0.534124
0.16,0.53679
0.161,0.539457
0.162,0.542124
0.163,0.54479
0.164,0.547457
0.165,0.550124
0.166,0.552791
0.167,0.555457
0.168,0.558124
0.169,0.56079
0.17,0.563457
0.171,0.566124
0.172,0.56879
0.173,0.571457
0.174,0.574124
0.175,0.576791
0.176,0.579457
0.177,0.582124
0.178,0.584751
0.179,0.58724
0.18,0.589729
0.181,0.592218
0.182,0.594707
0.183,0.597196
0.184,0.599684
0.185,0.602173
0.186,0.604662
0.187,0.607151
0.188,0.60964
0.189,0.612129
0.19,0.614618
0.191,0.617107
0.192,0.619595
0.193,0.622084
0.194,0.624573
0.195,0.627062
0.196,0.629551
0.197,0.63204
0.198,0.634529
0.199,0.637018
0.2,0.639506
0.201,0.641818
0.202,0.644129
0.203,0.64644
0.204,0.648751
0.205,0.651062
0.206,0.653373
0.207,0.655684
0.208,0.657995
0.209,0.660306
0.21,0.662618
0.211,0.664929
0.212,0.66724
0.213,0.669551
0.214,0.671862
0.215,0.674173
0.216,0.676484
0.217,0.678795
0.218,0.681107
0.219,0.683418
0.22,0.685729
0.221,0.68804
0.222,0.690351
0.223,0.692524
0.224,0.694657
0.225,0.69679
0.226,0.698924
0.227,0.701057
0.228,0.70319
0.229,0.705324
0.23,0.707457
0.231,0.70959
0.232,0.711724
0.233,0.713857
0.234,0.71599
0.235,0.718124
0.236,0.720257
0.237,0.72239
0.238,0.724524
0.239,0.726657
0.24,0.728791
0.241,0.730924
0.242,0.733057
0.243,0.735191
0.244,0.737324
0.245,0.739358
0.246,0.741314
0.247,0.74327
0.248,0.745225
0.249,0.747181
0.25,0.749136
0.251,0.751092
0.252,0.753047
0.253,0.755003
0.254,0.756958
0.255,0.758914
0.256,0.760869
0.257,0.762825
0.258,0.76478
0.259,0.766736
0.26,0.768692
0.261,0.770647
0.262,0.772603
0.263,0.774558
0.264,0.776514
0.265,0.778469
0.266,0.780425
0.267,0.782321
