"arc_length","U_X"
0,2.07322e-16
0.000999987,0.0109001
0.002,0.021798
0.00299999,0.0326929
0.00400001,0.0435856
0.005,0.0544754
0.00600001,0.0653629
0.007,0.0762475
0.00799999,0.0871293
0.009,0.0979755
0.00999999,0.108144
0.011,0.118311
0.012,0.128477
0.013,0.138643
0.014,0.148807
0.015,0.158971
0.016,0.169133
0.017,0.179295
0.018,0.189393
0.019,0.19885
0.02,0.208309
0.021,0.217768
0.022,0.227228
0.023,0.236688
0.024,0.246149
0.025,0.25561
0.026,0.265073
0.027,0.274446
0.028,0.283196
0.029,0.291949
0.03,0.300703
0.031,0.309459
0.032,0.318218
0.033,0.326978
0.034,0.335741
0.035,0.344505
0.036,0.353161
0.037,0.361227
0.038,0.369295
0.039,0.377367
0.04,0.385441
0.041,0.393519
0.042,0.4016
0.043,0.409684
0.044,0.417771
0.045,0.425737
0.046,0.433148
0.047,0.440563
0.048,0.447976
0.049,0.455374
0.05,0.462775
0.051,0.470179
0.052,0.477587
0.053,0.484998
0.054,0.492284
0.055,0.499053
0.056,0.505826
0.057,0.512603
0.058,0.519384
0.059,0.526169
0.06,0.532958
0.061,0.539751
0.062,0.546548
0.063,0.553224
0.064,0.559424
0.065,0.565627
0.066,0.571836
0.067,0.578048
0.068,0.584265
0.069,0.590486
0.07,0.596712
0.071,0.602942
0.072,0.609061
0.073,0.614746
0.074,0.620435
0.075,0.626129
0.076,0.631826
0.077,0.637529
0.078,0.643235
0.079,0.648946
0.08,0.654662
0.081,0.660283
0.082,0.66551
0.083,0.670742
0.084,0.675977
0.085,0.681217
0.086,0.686461
0.087,0.69171
0.088,0.696962
0.089,0.702219
0.09,0.707402
0.091,0.71223
0.092,0.717061
0.093,0.721897
0.094,0.726736
0.095,0.731579
0.096,0.736427
0.097,0.741278
0.098,0.746134
0.099,0.750921
0.1,0.755374
0.101,0.759832
0.102,0.764293
0.103,0.768757
0.104,0.773226
0.105,0.777698
0.106,0.782174
0.107,0.786653
0.108,0.791102
0.109,0.795266
0.11,0.799433
0.111,0.803604
0.112,0.807777
0.113,0.811954
0.114,0.816135
0.115,0.820318
0.116,0.824505
0.117,0.828682
0.118,0.832604
0.119,0.836529
0.12,0.840456
0.121,0.844387
0.122,0.84832
0.123,0.852255
0.124,0.856194
0.125,0.860136
0.126,0.86408
0.127,0.867807
0.128,0.871531
0.129,0.875257
0.13,0.878985
0.131,0.882716
0.132,0.886449
0.133,0.890185
0.134,0.893923
0.135,0.897663
0.136,0.90124
0.137,0.904798
0.138,0.908357
0.139,0.911912
0.14,0.915444
0.141,0.918979
0.142,0.922516
0.143,0.926055
0.144,0.929596
0.145,0.933019
0.146,0.936409
0.147,0.939801
0.148,0.943194
0.149,0.946588
0.15,0.949985
0.151,0.953383
0.152,0.956782
0.153,0.960183
0.154,0.963504
0.155,0.966779
0.156,0.970055
0.157,0.973333
0.158,0.976612
0.159,0.979892
0.16,0.983173
0.161,0.986456
0.162,0.989739
0.163,0.992971
0.164,0.996147
0.165,0.999324
0.166,1.0025
0.167,1.00568
0.168,1.00886
0.169,1.01204
0.17,1.01522
0.171,1.0184
0.172,1.02154
0.173,1.0246
0.174,1.02765
0.175,1.03071
0.176,1.03376
0.177,1.03682
0.178,1.03988
0.179,1.04293
0.18,1.04599
0.181,1.04904
0.182,1.05201
0.183,1.05498
0.184,1.05795
0.185,1.06092
0.186,1.06388
0.187,1.06685
0.188,1.06982
0.189,1.07279
0.19,1.07576
0.191,1.07866
0.192,1.08154
0.193,1.08441
0.194,1.08729
0.195,1.09017
0.196,1.09305
0.197,1.09593
0.198,1.0988
0.199,1.10167
0.2,1.10446
